undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
34323.94,53125.74,40274.34,517.68,1307.86,1050.85,1300.02,1033.9,7.84,16.95,0.015082527683610868,0.02461818424350735,0.026092554192670727
13612.23,1473.91,12310.41,451.35,180.06,482.63,171.97,472.54,8.09,10.09,0.033156715905814704,0.12215468520992649,0.03920877440690482
4607.27,713.07,2671.86,302.54,104.47,142.32,98.58,139.2,5.89,3.12,0.06566526423546788,0.14654101390057817,0.053264548042720995
1809.09,327.44,552.82,184.94,57.93,34.58,54.3,33.9,3.63,0.68,0.10226468424357675,0.17685598603159683,0.06254460668882396
798.83,150.93,110.25,109.35,29.81,7.07,27.57,6.94,2.24,0.13,0.13694112470908773,0.1972231569874098,0.06432692491112127
379.09,71.92,20.7,62.25,16.32,1.33,15.16,1.32,1.16,0.01,0.16416950050337678,0.22640354695886505,0.0627142295348501
190.55,36.18,3.87,36.99,9.08,0.21,8.24,0.19,0.84,0.02,0.19405217970690125,0.2513274020712349,0.05925396825396825
98.75,19.29,0.63,21.12,5.09,0.01,4.62,0.01,0.47,0.0,0.2141505201557733,0.26465609644390076,0.005
53.8,11.17,0.12,13.08,3.28,0.0,3.0,0.0,0.28,0.0,0.24255327563212942,0.2992164820044077,0.0
71.45,15.35,0.0,19.7,5.1,0.0,4.54,0.0,0.56,0.0,0.27528079486755286,0.3300841188880964,0.0
